File Name,Enrichment (%),Godiva Radius (cm),k-effective
godiva00.inp,20.0,8.7407,0.700256
godiva01.inp,22.0,8.7407,0.719417
godiva02.inp,24.0,8.7407,0.737754
godiva03.inp,26.0,8.7407,0.75536
godiva04.inp,28.0,8.7407,0.773351
godiva05.inp,30.0,8.7407,0.792023
godiva06.inp,32.0,8.7407,0.808225
godiva07.inp,34.0,8.7407,0.825713
godiva08.inp,36.0,8.7407,0.843796
godiva09.inp,38.0,8.7407,0.85693
godiva10.inp,40.0,8.7407,0.871408
godiva11.inp,42.0,8.7407,0.887698
godiva12.inp,44.0,8.7407,0.905993
godiva13.inp,46.0,8.7407,0.918639
godiva14.inp,48.0,8.7407,0.934239
godiva15.inp,50.0,8.7407,0.944151
godiva16.inp,52.0,8.7407,0.960674
godiva17.inp,54.0,8.7407,0.973489
godiva18.inp,56.0,8.7407,0.988847
godiva19.inp,58.0,8.7407,0.99213
godiva20.inp,60.0,8.7407,1.00939
godiva21.inp,62.0,8.7407,1.02408
godiva22.inp,64.0,8.7407,1.03328
godiva23.inp,66.0,8.7407,1.04898
godiva24.inp,68.0,8.7407,1.05952
godiva25.inp,70.0,8.7407,1.06786
godiva26.inp,72.0,8.7407,1.07768
godiva27.inp,74.0,8.7407,1.09107
godiva28.inp,76.0,8.7407,1.09662
godiva29.inp,78.0,8.7407,1.11166
godiva30.inp,80.0,8.7407,1.11968
